,Name,Over,Maidens,Runs_Conceded,Wickets,Dots
48,Ravi Bishnoi,87.0,1,606,24,209
49,Moises Henriques,33.6,0,293,5,58
50,Shahbaz Ahmed,20.0,0,136,9,30
51,Bhuvneshwar Kumar,213.39999999999998,3,1618,57,566
52,Jayant Yadav,37.0,0,265,4,88
53,Kieron Pollard,35.6,0,315,9,59
54,Shreyas Gopal,136.0,1,1094,41,273
55,Kuldip Yadav,2.0,0,16,0,5
56,Tim Southee,60.0,1,570,12,123
57,Aiden Markram,4.0,0,23,0,9
58,Akash Singh,4.0,0,39,0,7
59,Mayank Markande,53.0,0,453,16,102
60,Sam Curran,107.60000000000001,0,995,32,227
61,KM Asif,8.1,0,93,4,18
62,Fabian Allen,11.0,1,90,1,20
63,Nathan Ellis,11.0,0,90,1,24
64,Nitish Rana,18.1,0,151,7,37
65,Sandeep Sharma,209.3,0,1660,58,488
66,Kartik Tyagi,52.1,0,491,13,120
67,Mahipal Lomror,10.0,0,74,1,15
68,Riyan Parag,22.1,0,221,3,28
69,Rahul Chahar,150.0,0,1117,43,339
