"PLAYER","TEAM","INNINGS","NOT OUT","RUNS","HS","AVERAGE","BALL FACED","STRIKE RATE","100'S","50'S","4'S","6'S"
"Ben Dwarshuis","Sydney Sixers","5","3","42","24","21","32","131.25","0","0","3","1"
"Daniel Lawrence","Brisbane Heat","4","0","41","20","10.25","41","100","0","0","4","1"
"Chris Green","Sydney Thunder","7","1","41","12","6.8333333333333","34","120.58823529412","0","0","4","1"
"Matthew Short","Adelaide Strikers","5","0","37","16","7.4","37","100","0","0","3","0"
"Andrew Tye","Perth Scorchers","5","2","37","15","12.333333333333","29","127.58620689655","0","0","3","2"
"Harry Nielsen","Adelaide Strikers","2","0","36","28","18","31","116.12903225806","0","0","4","1"
"Macalister Wright","Hobart Hurricanes","4","0","29","15","7.25","34","85.294117647059","0","0","1","0"
"Kane Richardson","Melbourne Renegades","5","1","28","13","7","19","147.36842105263","0","0","3","1"
"Adam Zampa","Melbourne Stars","3","0","27","23","9","28","96.428571428571","0","0","2","1"
"Mark Steketee","Brisbane Heat","7","2","25","14","5","30","83.333333333333","0","0","2","0"
"Xavier Bartlett","Brisbane Heat","5","2","25","19","8.3333333333333","20","125","0","0","1","1"
"Justin Avendano","Sydney Sixers","2","0","25","17","12.5","23","108.69565217391","0","0","3","1"
"Baxter Holt","Sydney Thunder","3","0","24","23","8","28","85.714285714286","0","0","3","0"
"Mujeeb Ur Rahman","Brisbane Heat","2","0","21","18","10.5","13","161.53846153846","0","0","2","1"
"Sam Rainbird","Melbourne Stars","3","2","21","15","21","14","150","0","0","2","0"
"Steve OKeefe","Sydney Sixers","4","2","18","16","9","22","81.818181818182","0","0","2","0"
"Will Sutherland","Melbourne Renegades","4","2","17","8*","8.5","18","94.444444444444","0","0","2","0"
"Liam hatcher","Melbourne Stars","3","1","16","9","8","18","88.888888888889","0","0","1","1"
"Mitchell Swepson","Brisbane Heat","2","1","15","11*","15","13","115.38461538462","0","0","2","0"
"Scott Boland","Hobart Hurricanes","7","5","15","6*","7.5","21","71.428571428571","0","0","2","0"
"Arjun Nair","Sydney Thunder","1","0","15","15","15","13","115.38461538462","0","0","1","0"
"Brendan Doggett","Sydney Thunder","2","1","15","10*","15","12","125","0","0","3","0"
"Clint Hinchliffe","Melbourne Stars","2","1","14","13","14","10","140","0","0","1","0"
"Nathan Coulter-Nile","Melbourne Stars","4","1","13","7","4.3333333333333","11","118.18181818182","0","0","1","1"
"Wes Agar","Adelaide Strikers","4","3","12","5*","12","9","133.33333333333","0","0","1","0"
"Will Parker","Hobart Hurricanes","2","1","12","12*","12","10","120","0","0","1","0"
"Jackson Bird","Sydney Sixers","1","1","12","12*","#DIV/0!","11","109.09090909091","0","0","1","0"
"Mitchell Owen","Hobart Hurricanes","1","1","11","11*","#DIV/0!","7","157.14285714286","0","0","2","0"
"Jason Behrendorff","Perth Scorchers","4","3","11","6*","11","9","122.22222222222","0","0","1","0"
"Liam Scott","Adelaide Strikers","1","0","10","10","10","12","83.333333333333","0","0","1","0"
"Matthew Kuhnemann","Brisbane Heat","2","1","10","9","10","10","100","0","0","1","0"
"Ben Laughlin","Brisbane Heat","2","2","8","6*","#DIV/0!","11","72.727272727273","0","0","1","0"
"Keemo Paul","Hobart Hurricanes","1","0","8","8","8","9","88.888888888889","0","0","1","0"
"Zak Evans","Melbourne Renegades","2","0","8","6","4","7","114.28571428571","0","0","0","1"
"Adam Milne","Sydney Thunder","5","3","8","3*","4","8","100","0","0","0","0"
"Riley Meredith","Hobart Hurricanes","4","1","7","4","2.3333333333333","9","77.777777777778","0","0","1","0"
"Josh Lalor","Melbourne Renegades","4","0","7","5","1.75","13","53.846153846154","0","0","1","0"
"Peter Hatzoglou","Melbourne Renegades","4","0","6","4","1.5","15","40","0","0","1","0"
"Jon Holland","Melbourne Renegades","1","1","5","5*","#DIV/0!","5","100","0","0","0","0"
"Sean Abbott","Sydney Sixers","1","0","5","5","5","4","125","0","0","0","0"
"Simon Milenko","Brisbane Heat","3","0","4","1","1.3333333333333","10","40","0","0","0","0"
